shank,electrode,x,y
0,0,27,0
0,1,59,0
0,2,11,20
0,3,43,20
0,4,27,40
0,5,59,40
0,6,11,60
0,7,43,60
0,8,27,80
0,9,59,80
0,10,11,100
0,11,43,100
0,12,27,120
0,13,59,120
0,14,11,140
0,15,43,140
0,16,27,160
0,17,59,160
0,18,11,180
0,19,43,180
0,20,27,200
0,21,59,200
0,22,11,220
0,23,43,220
0,24,27,240
0,25,59,240
0,26,11,260
0,27,43,260
0,28,27,280
0,29,59,280
0,30,11,300
0,31,43,300
0,32,27,320
0,33,59,320
0,34,11,340
0,35,43,340
0,36,27,360
0,37,59,360
0,38,11,380
0,39,43,380
0,40,27,400
0,41,59,400
0,42,11,420
0,43,43,420
0,44,27,440
0,45,59,440
0,46,11,460
0,47,43,460
0,48,27,480
0,49,59,480
0,50,11,500
0,51,43,500
0,52,27,520
0,53,59,520
0,54,11,540
0,55,43,540
0,56,27,560
0,57,59,560
0,58,11,580
0,59,43,580
0,60,27,600
0,61,59,600
0,62,11,620
0,63,43,620
0,64,27,640
0,65,59,640
0,66,11,660
0,67,43,660
0,68,27,680
0,69,59,680
0,70,11,700
0,71,43,700
0,72,27,720
0,73,59,720
0,74,11,740
0,75,43,740
0,76,27,760
0,77,59,760
0,78,11,780
0,79,43,780
0,80,27,800
0,81,59,800
0,82,11,820
0,83,43,820
0,84,27,840
0,85,59,840
0,86,11,860
0,87,43,860
0,88,27,880
0,89,59,880
0,90,11,900
0,91,43,900
0,92,27,920
0,93,59,920
0,94,11,940
0,95,43,940
0,96,27,960
0,97,59,960
0,98,11,980
0,99,43,980
0,100,27,1000
0,101,59,1000
0,102,11,1020
0,103,43,1020
0,104,27,1040
0,105,59,1040
0,106,11,1060
0,107,43,1060
0,108,27,1080
0,109,59,1080
0,110,11,1100
0,111,43,1100
0,112,27,1120
0,113,59,1120
0,114,11,1140
0,115,43,1140
0,116,27,1160
0,117,59,1160
0,118,11,1180
0,119,43,1180
0,120,27,1200
0,121,59,1200
0,122,11,1220
0,123,43,1220
0,124,27,1240
0,125,59,1240
0,126,11,1260
0,127,43,1260
0,128,27,1280
0,129,59,1280
0,130,11,1300
0,131,43,1300
0,132,27,1320
0,133,59,1320
0,134,11,1340
0,135,43,1340
0,136,27,1360
0,137,59,1360
0,138,11,1380
0,139,43,1380
0,140,27,1400
