channel,shank0-bank0,shank0-bank1,shank0-bank2
138,138,522,906
139,139,523,907
140,140,524,908
141,141,525,909
142,142,526,910
143,143,527,911
144,144,528,912
145,145,529,913
146,146,530,914
147,147,531,915
148,148,532,916
149,149,533,917
150,150,534,918
151,151,535,919
152,152,536,920
153,153,537,921
154,154,538,922
155,155,539,923
156,156,540,924
157,157,541,925
158,158,542,926
159,159,543,927
160,160,544,928
161,161,545,929
162,162,546,930
163,163,547,931
164,164,548,932
165,165,549,933
166,166,550,934
167,167,551,935
168,168,552,936
169,169,553,937
170,170,554,938
171,171,555,939
172,172,556,940
173,173,557,941
174,174,558,942
175,175,559,943
176,176,560,944
177,177,561,945
178,178,562,946
179,179,563,947
180,180,564,948
181,181,565,949
182,182,566,950
183,183,567,951
184,184,568,952
185,185,569,953
186,186,570,954
187,187,571,955
188,188,572,956
189,189,573,957
190,190,574,958
191,191,575,959
192,192,576,
193,193,577,
194,194,578,
195,195,579,
196,196,580,
197,197,581,
198,198,582,
199,199,583,
200,200,584,
201,201,585,
202,202,586,
203,203,587,
204,204,588,
205,205,589,
206,206,590,
207,207,591,
208,208,592,
209,209,593,
210,210,594,
211,211,595,
212,212,596,
213,213,597,
214,214,598,
215,215,599,
216,216,600,
217,217,601,
218,218,602,
219,219,603,
220,220,604,
221,221,605,
222,222,606,
223,223,607,
224,224,608,
225,225,609,
226,226,610,
227,227,611,
228,228,612,
229,229,613,
230,230,614,
231,231,615,
232,232,616,
233,233,617,
234,234,618,
235,235,619,
236,236,620,
237,237,621,
238,238,622,
239,239,623,
240,240,624,
241,241,625,
242,242,626,
243,243,627,
244,244,628,
245,245,629,
246,246,630,
247,247,631,
248,248,632,
249,249,633,
250,250,634,
251,251,635,
252,252,636,
253,253,637,
254,254,638,
255,255,639,
256,256,640,
257,257,641,
258,258,642,
259,259,643,
260,260,644,
261,261,645,
262,262,646,
263,263,647,
264,264,648,
265,265,649,
266,266,650,
267,267,651,
268,268,652,
269,269,653,
270,270,654,
271,271,655,
272,272,656,
273,273,657,
274,274,658,
275,275,659,
276,276,660,
277,277,661,
278,278,662,
279,279,663,
280,280,664,
281,281,665,
282,282,666,
283,283,667,
284,284,668,
285,285,669,
286,286,670,
287,287,671,
288,288,672,
289,289,673,
290,290,674,
291,291,675,
292,292,676,
293,293,677,
294,294,678,
295,295,679,
296,296,680,
297,297,681,
298,298,682,
299,299,683,
300,300,684,
301,301,685,
302,302,686,
303,303,687,
304,304,688,
305,305,689,
306,306,690,
307,307,691,
308,308,692,
309,309,693,
310,310,694,
311,311,695,
312,312,696,
313,313,697,
314,314,698,
315,315,699,
316,316,700,
317,317,701,
318,318,702,
319,319,703,
320,320,704,
321,321,705,
322,322,706,
323,323,707,
324,324,708,
325,325,709,
326,326,710,
327,327,711,
328,328,712,
329,329,713,
330,330,714,
331,331,715,
332,332,716,
333,333,717,
334,334,718,
335,335,719,
336,336,720,
337,337,721,
338,338,722,
339,339,723,
340,340,724,
341,341,725,
342,342,726,
343,343,727,
344,344,728,
345,345,729,
346,346,730,
347,347,731,
348,348,732,
349,349,733,
350,350,734,
351,351,735,
352,352,736,
353,353,737,
354,354,738,
355,355,739,
356,356,740,
357,357,741,
358,358,742,
359,359,743,
360,360,744,
361,361,745,
362,362,746,
363,363,747,
364,364,748,
365,365,749,
366,366,750,
367,367,751,
368,368,752,
369,369,753,
370,370,754,
371,371,755,
372,372,756,
373,373,757,
374,374,758,
375,375,759,
376,376,760,
377,377,761,
378,378,762,
379,379,763,
380,380,764,
381,381,765,
382,382,766,
383,383,767,
